날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,종목코드,index
2025-04-14,163400.0,168800.0,158900.0,167500.0,218242.0,6.892150606253988,5999.0,44.34,27.92,3778.0,1.49,2500.0,443060,
2025-04-14,32700.0,34000.0,32350.0,33900.0,1745417.0,8.653846153846153,7893.0,30.6,4.29,1108.0,0.0,0.0,071970,
2025-04-14,133600.0,133600.0,129100.0,132100.0,493164.0,2.0077220077220077,49396.0,0.0,2.67,0.0,0.0,0.0,010620,
2025-04-14,26400.0,26550.0,25750.0,26300.0,66119.0,1.348747591522158,33175.0,0.0,0.79,0.0,0.0,0.0,322000,
2025-04-14,7950.0,7990.0,7860.0,7940.0,578824.0,0.6337135614702154,9097.0,6.85,0.87,1159.0,1.39,110.0,042670,
2025-04-14,316000.0,316000.0,301000.0,307000.0,260428.0,-1.1272141706924315,29121.0,42.64,10.54,7200.0,0.33,1000.0,267260,
2025-04-14,357500.0,357500.0,344000.0,347500.0,264186.0,1.4598540145985401,58660.0,1250.0,5.92,278.0,0.0,0.0,329180,
2025-04-14,8590.0,8590.0,8100.0,8250.0,5098028.0,0.0,4093.0,0.0,2.02,0.0,0.0,0.0,097230,
2025-04-14,35900.0,37400.0,35300.0,37000.0,279167.0,5.263157894736842,42487.0,22.21,0.87,1666.0,0.95,350.0,195940,
2025-04-14,2275.0,2325.0,2250.0,2290.0,21664.0,0.0,9721.0,6.19,0.24,370.0,0.0,0.0,014790,
2025-04-14,50600.0,53300.0,50500.0,52800.0,782995.0,0.9560229445506693,4034.0,0.0,13.09,0.0,0.0,0.0,028300,
2025-04-14,2915.0,3115.0,2915.0,3010.0,47308.0,0.16638935108153077,1166.0,0.0,2.58,0.0,0.0,0.0,003580,
2025-04-14,1575.0,1615.0,1556.0,1594.0,194698.0,0.5678233438485805,1300.0,0.0,1.23,0.0,0.0,0.0,278650,
2025-04-14,5950.0,6100.0,5860.0,6020.0,532783.0,0.16638935108153077,2209.0,0.0,2.73,0.0,0.0,0.0,067630,
2025-04-14,1994.0,2060.0,1976.0,2035.0,238058.0,2.0561685055165495,858.0,0.0,2.37,0.0,0.0,0.0,024850,
2025-04-14,3290.0,3370.0,3250.0,3335.0,88011.0,1.2139605462822458,944.0,0.0,3.53,0.0,0.0,0.0,187420,
2025-04-14,18120.0,18830.0,18000.0,18670.0,308382.0,0.10723860589812334,2908.0,0.0,6.42,0.0,0.0,0.0,047920,
2025-04-14,7380.0,7900.0,7360.0,7740.0,552423.0,2.2457067371202113,2004.0,0.0,3.86,0.0,0.0,0.0,115450,
2025-04-14,1924.0,1965.0,1924.0,1960.0,11919.0,1.6597510373443984,1550.0,0.0,1.26,0.0,0.0,0.0,046210,
2025-04-14,34900.0,35350.0,34500.0,35300.0,97602.0,1.146131805157593,47505.0,12.21,0.74,2890.0,1.7,600.0,204320,
2025-04-14,35000.0,35200.0,34500.0,35000.0,6759.0,0.28653295128939826,105173.0,6.68,0.33,5237.0,5.71,2000.0,060980,
2025-04-14,19320.0,19500.0,18910.0,19220.0,1244978.0,-0.5175983436853002,31115.0,11.53,0.62,1667.0,3.64,700.0,011200,
2025-04-14,24400.0,24500.0,23500.0,24300.0,386891.0,1.25,3350.0,24.55,7.25,990.0,0.62,150.0,403870,
2025-04-14,5140.0,5140.0,5070.0,5130.0,43813.0,0.3913894324853229,7165.0,6.77,0.72,758.0,3.9,200.0,036640,
2025-04-14,6880.0,6900.0,6830.0,6880.0,13396.0,0.0,11276.0,6.88,0.61,1000.0,6.54,450.0,035000,
2025-04-14,9440.0,9570.0,9310.0,9450.0,17553.0,0.0,40704.0,4.11,0.23,2302.0,5.29,500.0,002460,
2025-04-14,37900.0,38000.0,37400.0,37700.0,5551.0,-0.13245033112582782,0.0,0.0,0.0,0.0,0.0,0.0,487570,
2025-04-14,170000.0,173800.0,169800.0,171300.0,10932.0,0.88339222614841,151670.0,21.53,1.13,7957.0,3.79,6500.0,298050,
2025-04-14,2120.0,2125.0,2120.0,2125.0,10465.0,0.2358490566037736,0.0,0.0,0.0,0.0,0.0,0.0,439730,
2025-04-14,2190.0,2190.0,2170.0,2180.0,1493.0,0.4608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,442770,
2025-04-14,2200.0,2200.0,2180.0,2200.0,18835.0,0.22779043280182232,0.0,0.0,0.0,0.0,0.0,0.0,448760,
2025-04-14,2095.0,2115.0,2095.0,2115.0,2402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467930,
2025-04-14,2100.0,2110.0,2095.0,2110.0,8959.0,0.4761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,469480,
2025-04-14,0.0,0.0,0.0,10760.0,0.0,0.0,6389.0,1.59,1.68,6784.0,0.0,0.0,003560,
2025-04-14,50100.0,50700.0,48650.0,48900.0,127878.0,-0.3058103975535168,23130.0,65.29,2.11,749.0,0.41,200.0,095340,
2025-04-14,16640.0,17100.0,16630.0,17000.0,275260.0,2.595051297525649,26120.0,5.85,0.65,2907.0,5.03,855.0,175330,
2025-04-14,10890.0,11010.0,10880.0,11000.0,28278.0,1.0101010101010102,10294.0,6.05,1.07,1818.0,4.55,500.0,234080,
2025-04-14,1678.0,1695.0,1625.0,1627.0,159322.0,-3.0393325387365913,315.0,0.0,5.17,0.0,0.0,0.0,067290,
2025-04-14,21500.0,21600.0,21200.0,21500.0,27919.0,0.46728971962616817,10784.0,14.3,1.99,1504.0,1.86,400.0,001060,
2025-04-14,60200.0,60200.0,60200.0,60200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.66,400.0,001067,
2025-04-14,27150.0,27300.0,27100.0,27300.0,117.0,-0.36496350364963503,0.0,0.0,0.0,0.0,1.56,425.0,001065,
2025-04-14,3055.0,3055.0,2985.0,3005.0,41136.0,-0.16611295681063123,1716.0,11.3,1.75,266.0,3.49,105.0,096760,
2025-04-14,59700.0,59800.0,58000.0,59500.0,321791.0,-0.16778523489932887,11897.0,18.68,5.0,3186.0,0.96,574.0,035900,
2025-04-14,4345.0,4460.0,4310.0,4460.0,9952.0,1.82648401826484,4834.0,8.24,0.92,541.0,2.24,100.0,318000,
2025-04-14,2000.0,2015.0,1912.0,1927.0,991315.0,-3.214465092918132,3450.0,963.5,0.56,2.0,0.0,0.0,024840,
2025-04-14,75600.0,77000.0,75000.0,76100.0,636733.0,1.196808510638298,150344.0,6.57,0.51,11580.0,4.02,3060.0,105560,
2025-04-14,3590.0,3590.0,3435.0,3505.0,51160.0,-0.4261363636363636,9459.0,38.1,0.37,92.0,4.28,150.0,024120,
2025-04-14,2095.0,2095.0,2080.0,2090.0,3086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455250,
2025-04-14,1993.0,1993.0,1985.0,1991.0,16338.0,0.05025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,464680,
2025-04-14,2240.0,2250.0,2215.0,2240.0,69720.0,-0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,476470,
2025-04-14,2045.0,2045.0,2015.0,2020.0,86584.0,-1.2224938875305624,0.0,0.0,0.0,0.0,0.0,0.0,478390,
2025-04-14,2005.0,2010.0,2000.0,2010.0,21708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486630,
2025-04-14,2000.0,2010.0,2000.0,2005.0,62752.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,492220,
2025-04-14,242500.0,246000.0,239000.0,241000.0,14663.0,-0.2070393374741201,704004.0,8.33,0.34,28917.0,3.32,8000.0,002380,
2025-04-14,4200.0,4285.0,4185.0,4260.0,22136.0,1.7921146953405016,22370.0,8.21,0.19,519.0,3.05,130.0,021320,
2025-04-14,30600.0,30750.0,30000.0,30150.0,25822.0,-1.4705882352941175,93331.0,5.88,0.32,5125.0,7.3,2200.0,344820,
2025-04-14,6230.0,6360.0,6230.0,6340.0,16800.0,1.929260450160772,9891.0,6.2,0.64,1022.0,3.94,250.0,036670,
2025-04-14,3685.0,3750.0,3675.0,3750.0,32401.0,1.7639077340569878,9122.0,4.18,0.41,897.0,1.87,70.0,009070,
2025-04-14,0.0,0.0,0.0,756.0,0.0,0.0,6467.0,0.0,0.12,0.0,6.61,50.0,009440,
